n,m,analytic_lower_bound,analytic_grid_upper_bound,explicit_grid_gain,optimized_best_gain,optimized_median_gain,optimized_iqr_low,optimized_iqr_high,num_seeds,steps,used_fast_formula,optimization_status,grid_to_lower_ratio,optimized_to_lower_ratio,optimized_improvement_over_grid
16,3,1.0,3.4641016151377544,3.0,3.482909347921614,3.834762063270341,3.5964533542428505,3.8744491505444807,5,15000,True,optimized;seed0:restarted_after_collision;seed1:restarted_after_collision;seed2:restarted_after_collision;seed3:restarted_after_collision;seed4:restarted_after_collision,3.0,3.482909347921614,-0.482909347921614
16,4,1.0,2.0,2.0,2.796755255721331,3.0642413406932123,3.049547200446431,3.0829392811817775,5,15000,True,optimized;seed0:restarted_after_collision;seed1:restarted_after_collision;seed2:restarted_after_collision;seed3:restarted_after_collision;seed4:restarted_after_collision,2.0,2.796755255721331,-0.7967552557213309
24,1,11.5,23.0,23.0,43.60452427003915,51.61348994593195,44.65881751566951,52.8232322004102,5,15000,True,optimized;seed0:restarted_after_collision;seed1:restarted_after_collision;seed2:restarted_after_collision;seed3:restarted_after_collision;seed4:restarted_after_collision,2.0,3.7916977626121,-20.60452427003915
24,2,1.9494897427831779,5.656854249492381,5.6568542494923815,8.090095121588813,8.96792383398656,8.475635149231946,9.255988915199216,5,15000,True,optimized;seed0:restarted_after_collision;seed1:restarted_after_collision;seed2:restarted_after_collision;seed3:restarted_after_collision;seed4:restarted_after_collision,2.9017101887473418,4.149852622481119,-2.433240872096432
24,3,1.0,3.4641016151377544,3.4641016151377544,4.883372583439169,5.127115722163286,5.036988537467192,5.198479249721623,5,15000,True,optimized;seed0:restarted_after_collision;seed1:restarted_after_collision;seed2:restarted_after_collision;seed3:restarted_after_collision;seed4:restarted_after_collision,3.4641016151377544,4.883372583439169,-1.4192709683014142
24,4,1.0,4.0,3.4641016151377544,3.548697138068805,3.7443569082367283,3.7344949182530507,3.77910959663544,5,15000,True,optimized;seed0:restarted_after_collision;seed1:restarted_after_collision;seed2:restarted_after_collision;seed3:restarted_after_collision;seed4:restarted_after_collision,3.4641016151377544,3.548697138068805,-0.08459552293105066
32,1,15.5,31.0,31.0,60.963828721427504,66.7141538230902,61.30223183740429,73.50327034498929,5,15000,True,optimized;seed0:restarted_after_collision;seed1:restarted_after_collision;seed2:restarted_after_collision;seed3:restarted_after_collision;seed4:restarted_after_collision,2.0,3.9331502400920972,-29.963828721427504
32,2,2.3284271247461903,7.0710678118654755,7.0710678118654755,11.957980396499769,12.57420184046648,12.031009090591542,12.883911090246823,5,15000,True,optimized;seed0:restarted_after_collision;seed1:restarted_after_collision;seed2:restarted_after_collision;seed3:restarted_after_collision;seed4:restarted_after_collision,3.036843084636482,5.135647265663617,-4.886912584634294
32,3,1.0874010519681994,5.196152422706632,4.358898943540674,5.860243928464398,6.401964389682823,5.934720769792304,6.410250371207052,5,15000,True,optimized;seed0:restarted_after_collision;seed1:restarted_after_collision;seed2:restarted_after_collision;seed3:restarted_after_collision;seed4:restarted_after_collision,4.008547661096201,5.389220396520068,-1.5013449849237244
32,4,1.0,4.0,3.605551275463989,4.405414393664007,4.5517243597366175,4.491582298124697,4.625482008584992,5,15000,True,optimized;seed0:restarted_after_collision;seed1:restarted_after_collision;seed2:restarted_after_collision;seed3:restarted_after_collision;seed4:restarted_after_collision,3.605551275463989,4.405414393664007,-0.7998631182000175
64,1,31.5,63.0,63.0,,,,,0,0,True,skipped_n_greater_than_32,2.0,,
64,2,3.5,9.899494936611665,9.899494936611665,,,,,0,0,True,skipped_n_greater_than_32,2.8284271247461903,,
64,3,1.4999999999999998,5.196152422706632,5.196152422706632,,,,,0,0,True,skipped_n_greater_than_32,3.4641016151377553,,
64,4,1.0,4.0,4.0,,,,,0,0,True,skipped_n_greater_than_32,4.0,,
128,1,63.5,127.0,127.0,,,,,0,0,True,skipped_n_greater_than_32,2.0,,
128,2,5.156854249492381,15.556349186104047,14.866068747318506,,,,,0,0,True,skipped_n_greater_than_32,2.8827785366983876,,
128,3,2.019842099789746,8.660254037844386,7.681145747868608,,,,,0,0,True,skipped_n_greater_than_32,3.802844662297202,,
128,4,1.181792830507429,6.0,5.291502622129181,,,,,0,0,True,skipped_n_greater_than_32,4.477521343446599,,
