maze,state_id,row,col,action,next_id,next_row,next_col
A,53,6,5,L,52,6,4
A,53,6,5,R,54,6,6
A,54,6,6,U,46,5,6
A,54,6,6,D,62,7,6
A,54,6,6,L,53,6,5
A,54,6,6,R,55,6,7
A,55,6,7,U,47,5,7
A,55,6,7,D,63,7,7
A,55,6,7,L,54,6,6
A,55,6,7,R,55,6,7
A,56,7,0,U,48,6,0
A,56,7,0,D,56,7,0
A,56,7,0,L,56,7,0
A,56,7,0,R,57,7,1
A,57,7,1,U,49,6,1
A,57,7,1,D,57,7,1
A,57,7,1,L,56,7,0
A,57,7,1,R,58,7,2
A,58,7,2,U,50,6,2
A,58,7,2,D,58,7,2
A,58,7,2,L,57,7,1
A,58,7,2,R,59,7,3
A,59,7,3,U,51,6,3
A,59,7,3,D,59,7,3
A,59,7,3,L,58,7,2
A,59,7,3,R,60,7,4
A,60,7,4,U,52,6,4
A,60,7,4,D,60,7,4
A,60,7,4,L,59,7,3
A,60,7,4,R,61,7,5
A,61,7,5,U,53,6,5
A,61,7,5,D,61,7,5
A,61,7,5,L,60,7,4
A,61,7,5,R,62,7,6
A,62,7,6,U,54,6,6
A,62,7,6,D,62,7,6
A,62,7,6,L,61,7,5
A,62,7,6,R,63,7,7
A,63,7,7,U,55,6,7
A,63,7,7,D,63,7,7
A,63,7,7,L,62,7,6
A,63,7,7,R,63,7,7
